Name,UID,Code,parentUID,Short name,Description,,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number,,,parentCode,
Mongkol Borei,,102,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Samraong Tong,,507,dWNPRCyhgSS,,,,,,,,,,,,,,,,5,05
Phnum Srok,,103,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Preah Netr Preah,,104,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Ou Chrov,,105,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Serei Saophoan,,106,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Chhloung,,1001,#N/A,,,,,,,,,,,,,,,,10,10
Thma Puok,,107,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Svay Chek,,108,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Malai,,109,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Krong Paoy Paet,,110,QgemkdFXGYt,,,,,,,,,,,,,,,,1,01
Banan,,201,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Thma Koul,,202,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Bat Dambang,,203,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Bavel,,204,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Aek Phnum,,205,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Moung Ruessei,,206,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Rotonak Mondol,,207,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Sangkae,,208,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Samlout,,209,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Sampov Lun,,210,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Phnom Proek,,211,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Kamrieng,,212,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Koas Krala,,213,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Rukhak Kiri,,214,CkxaOKVcxqW,,,,,,,,,,,,,,,,2,02
Batheay,,301,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Chamkar Leu,,302,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Cheung Prey,,303,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Kampong Cham,,305,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Kampong Siem,,306,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Kang Meas,,307,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Kaoh Soutin,,308,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Ou Reang Ov,,311,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Prey Chhor,,313,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Srei Santhor,,314,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Stueng Trang,,315,yMg4bdcBUKw,,,,,,,,,,,,,,,,3,03
Baribour,,401,nQBnaJoX2fv,,,,,,,,,,,,,,,,4,04
Chol Kiri,,402,nQBnaJoX2fv,,,,,,,,,,,,,,,,4,04
Kampong Chhnang,,403,nQBnaJoX2fv,,,,,,,,,,,,,,,,4,04
