Name,UID,Code,Parent UID,Short name,Description,Opening date,Closed date,Comment,Feature type,,URL,Contact person,Address,Email,Phone number,,,
VL209060100,,VL209060100,gDjwjcKessW,,,,,,,"[102.775974,12.728081]",,,,,,VLVL209060100,,20906
VL504032900,,VL504032900,czMjs8BIecY,,,,,,,"[0,0]",,,,,,VLVL504032900,,50403
VL504070700,,VL504070700,orY2MiICk2G,,,,,,,"[0,0]",,,,,,VLVL504070700,,50407
VL505104700,,VL505104700,ybDXvNr1ZyP,,,,,,,"[0,0]",,,,,,VLVL505104700,,50510
VL505107000,,VL505107000,ybDXvNr1ZyP,,,,,,,"[0,0]",,,,,,VLVL505107000,,50510
VL507141600,,VL507141600,a6RpC4IjNci,,,,,,,"[104.351334,11.576194]",,,,,,VLVL507141600,,50714
VL508011900,,VL508011900,xCmPqdyNONq,,,,,,,"[0,0]",,,,,,VLVL508011900,,50801
VL508043100,,VL508043100,yTd6ZZZtFtt,,,,,,,"[0,0]",,,,,,VLVL508043100,,50804
VL606081000,,VL606081000,MLOFuOwGhzH,,,,,,,"[0,0]",,,,,,VLVL606081000,,60608
VL1003050105,,VL1003050105,jnxM2uksWK9,,,,,,,"[105.98882,12.326711]",,,,,,VLVL1003050105,,100305
VL1704081000,,VL1704081000,xg20P9Kq5Vs,,,,,,,"[104.413732,13.138078]",,,,,,VLVL1704081000,,170408
VL1704081001,,VL1704081001,xg20P9Kq5Vs,,,,,,,"[104.413732,13.138078]",,,,,,VLVL1704081001,,170408
VL2202012700,,VL2202012700,Yqx4E2PFRhX,,,,,,,"[0,0]",,,,,,VLVL2202012700,,220201
VL2202043000,,VL2202043000,F183K8CBSFD,,,,,,,"[103.155379,14.132276]",,,,,,VLVL2202043000,,220205
VL2202050100,,VL2202050100,F183K8CBSFD,,,,,,,"[103.151529,14.150322]",,,,,,VLVL2202050100,,220205
VL2202050300,,VL2202050300,F183K8CBSFD,,,,,,,"[103.117441,14.128367]",,,,,,VLVL2202050300,,220205
VL2202050400,,VL2202050400,F183K8CBSFD,,,,,,,"[103.149968,14.110788]",,,,,,VLVL2202050400,,220205
VL2202050700,,VL2202050700,DKwb92hNso7,,,,,,,"[103.265462,14.268252]",,,,,,VLVL2202050700,,220206
VL2202013300,,VL2202013300,Yqx4E2PFRhX,,,,,,,"[0,0]",,,,,,VLVL2202013300,,220201
