Name,UID,Code,Parent UID,Short name,Description,Opening date,Closed date,Comment,Feature type,,URL,Contact person,Address,Email,Phone number,,,
Banteay Neang,,,g6V8aAt2Mve,,,,,,,"[103.018016,13.512133]",,,,,,VL,,10201
Kouk Pnov,,VL102010300,g6V8aAt2Mve,,,,,,,"[103.008841,13.50483]",,,,,,VLVL102010300,,10201
Trang,,VL102010400,g6V8aAt2Mve,,,,,,,"[103.009719,13.51026]",,,,,,VLVL102010400,,10201
Pongro,,VL102010500,g6V8aAt2Mve,,,,,,,"[103.005532,13.501803]",,,,,,VLVL102010500,,10201
Kouk Tonloab,,VL102010600,g6V8aAt2Mve,,,,,,,"[103.014509,13.489512]",,,,,,VLVL102010600,,10201
Trabaek,,VL102010700,g6V8aAt2Mve,,,,,,,"[103.027429,13.490517]",,,,,,VLVL102010700,,10201
Khile,,VL102010800,g6V8aAt2Mve,,,,,,,"[103.024681,13.487784]",,,,,,VLVL102010800,,10201
Samraong Pen,,VL102010900,g6V8aAt2Mve,,,,,,,"[103.032032,13.492361]",,,,,,VLVL102010900,,10201
Dang Run Lech,,VL102011000,g6V8aAt2Mve,,,,,,,"[103.035309,13.493706]",,,,,,VLVL102011000,,10201
Dang Run Kaeut,,VL102011100,g6V8aAt2Mve,,,,,,,"[103.043993,13.497877]",,,,,,VLVL102011100,,10201
Ou Snguot,,VL102011200,g6V8aAt2Mve,,,,,,,"[103.016542,13.466934]",,,,,,VLVL102011200,,10201
Prey Changha Lech,,VL102011300,g6V8aAt2Mve,,,,,,,"[103.027848,13.467601]",,,,,,VLVL102011300,,10201
Prey Changha Kaeut,,VL102011400,g6V8aAt2Mve,,,,,,,"[103.033045,13.467841]",,,,,,VLVL102011400,,10201
Toum Nub,,VL102011500,qy74JEYxeFz,,,,,,,"[0,0]",,,,,,VLVL102011500,,50706
Ou Andoung Lech,,VL507062800,g6V8aAt2Mve,,,,,,,"[103.035831,13.468161]",,,,,,VLVL507062800,,10201
Ou Andoung Kandal,,VL102011600,g6V8aAt2Mve,,,,,,,"[103.040482,13.466345]",,,,,,VLVL102011600,,10201
